,описание,octant,крупный,мелкий,средний,полос,сила
syntax_monotone,все предложения одной конструкции и одной длины,−0−,-18.4,-0.8,-14.7,2,18.4
style/simplified,упрощённый язык,−0−,-12.2,0.4,-17.2,2,17.2
style/telegraphic,новостной телеграфный стиль,−0−,-14.2,-0.2,-4.4,2,14.2
syntax_simple,"короткие главные предложения, SVO, без подчинения",−0−,-5.5,-1.6,-9.4,2,9.4
surface/numbered_list,текст оформлен нумерованным списком,−−0,-4.5,-5.5,-2.1,2,5.5
style_literary_apiyi,"то же, контрольный прогон при T=0.7",+++,11.3,10.4,30.5,3,30.5
enrich/topics_up_hard,каждое предложение о другой предметной области,+++,7.6,10.6,29.3,3,29.3
style/literary_T1.3,"то же, второй прогон через APIYI",+++,11.3,11.1,28.8,3,28.8
style/literary_T1.7,"то же, третий прогон",+++,9.0,8.1,27.7,3,27.7
topics_up_v2,"больше разных тем, мягкая формулировка",+++,6.8,8.8,25.4,3,25.4
style/literary_T0.7,художественная и эссеистическая проза,+++,9.2,14.0,24.3,3,24.3
enrich/lexdiv_up,переписать разнообразнее по словарю,+++,3.2,6.3,16.3,3,16.3
style/news_dates,новости с датами и суффиксами,+++,3.9,9.8,9.1,3,9.8
surface/caps_terms,термины с заглавной буквы,+++,3.2,6.4,9.0,3,9.0
syntax_complex,"подчинение, причастные обороты, вложенные конструкции",+++,3.7,7.7,5.7,3,7.7
syntax_varied,никакие два соседних предложения не построены одинаково,+++,3.9,4.2,7.0,3,7.0
literary_echo50,"художественный стиль, затем эхо на половине кусков",+−+,17.6,-27.3,9.3,3,27.3
literary_echo25,"художественный стиль, затем эхо на четверти кусков",+−+,12.4,-16.2,14.9,3,16.2
loop/echo6w_x4,каждые 6 слов повторяются 4 раза подряд,+−−,10.0,-54.4,-53.7,3,54.4
loop/echo6w_x2,каждые 6 слов повторяются 2 раза подряд,+−−,6.5,-35.8,-21.9,3,35.8
echo_p50,"то же, на половине кусков",+−−,4.7,-29.9,-15.0,3,29.9
ngram_3,из триграммной модели,−++,-4.1,22.1,31.1,3,31.1
ngram_wide_3,триграммная по всему корпусу,−++,-5.5,25.1,31.1,3,31.1
ngram_wide_2,биграммная модель по всему корпусу,−++,-8.4,30.4,28.5,3,30.4
ngram/n2,выборка из биграммной модели корпуса,−++,-9.3,26.5,28.2,3,28.2
vocab/expand100,"все знаменательные слова уникальны, повторов нет",−++,-22.1,27.8,5.8,3,27.8
vocab/expand50,половина знаменательных слов заменена на свежие,−++,-18.4,19.4,3.1,3,19.4
syntax/drop_funcwords,выброшены служебные слова,−++,-12.8,8.8,3.0,3,12.8
loop/phrase12w_x4,одна 12-словная фраза вставляется по 4 раза подряд,−+−,-50.3,26.1,-84.4,3,84.4
vocab/top10,к 10 самым частым,−+−,-33.7,76.3,-59.7,3,76.3
vocab/top25,к 25 самым частым,−+−,-27.4,61.3,-54.6,3,61.3
shuffle/words,порядок слов в тексте перемешан,−+−,-14.9,43.2,-5.4,3,43.2
shuffle_within_sentences,перемешан внутри каждого предложения,−+−,-13.9,42.8,-4.6,3,42.8
vocab/top60,знаменательные слова сведены к 60 самым частым в тексте,−+−,-16.9,34.2,-38.6,3,38.6
surface/digits_add,добавлены числа,−+−,-21.1,5.4,-5.5,3,21.1
hapax_swap_local,"то же, но все замены из одного домена",−+−,-20.5,14.4,-11.7,3,20.5
hapax_swap_wide,однократные слова заменены чужими из разных доменов,−+−,-20.0,15.5,-12.4,3,20.0
hapax_swap_wide_50,то же для половины однократных,−+−,-13.8,10.2,-7.6,3,13.8
loop/tail_keep20_unit3w,"20% цело, дальше 3-словный фрагмент",−−−,-41.1,-8.6,-81.7,3,81.7
loop/tail_keep40_unit3w,"40% цело, дальше 3-словный фрагмент",−−−,-22.3,-32.5,-69.9,3,69.9
loop/tail_keep40_unit3w_drift,"то же, фрагмент иногда сменяется",−−−,-28.4,-51.8,-54.6,3,54.6
loop/tail_keep60_unit3w,"60% цело, дальше 3-словный фрагмент по кругу",−−−,-23.7,-46.2,-49.9,3,49.9
loop/tail_keep60_unit1w,"60% текста цело, дальше одно слово до конца",−−−,-9.8,-45.8,-41.4,3,45.8
deplete/ideas_down,меньше отдельных мыслей при той же длине,−−−,-21.2,-3.2,-43.0,3,43.0
style_catechism,вопрос-ответ с повторяющейся формулой вопроса,−−−,-6.6,-32.0,-17.7,3,32.0
style_record_fields,структурированные записи «Поле: значение»,−−−,-18.3,-26.5,-16.0,3,26.5
style_equations,содержание как вывод с нумерованными формулами,−−−,-16.8,-18.2,-26.2,3,26.2
style_anaphora,каждое предложение начинается одними и теми же словами,−−−,-23.3,-18.1,-19.9,3,23.3
style/dialogue_interj,бытовой диалог с междометиями,−−−,-21.9,-5.6,-18.2,3,21.9
style_code,содержание как документированный модуль на Python,−−−,-7.6,-16.0,-16.2,3,16.2
