,описание,octant,крупный,мелкий,средний,полос,сила
topics_up_v2,"больше разных тем, мягкая формулировка",+++,9.1,15.5,25.4,3,25.4
ngram/n4,из 4-граммной модели,+++,4.5,19.8,24.7,3,24.7
style/literary_T0.7,художественная и эссеистическая проза,+++,11.1,17.4,24.3,3,24.3
splice/every2nd_sent,каждое второе предложение взято из чужого текста,+++,3.3,13.5,18.1,3,18.1
ideas_up_v2,каждое предложение несёт новый факт,+++,4.3,7.3,16.7,3,16.7
enrich/lexdiv_up,переписать разнообразнее по словарю,+++,4.6,10.5,16.3,3,16.3
lexical_diversity_up_hard,ни одно знаменательное слово не дважды,+++,3.7,8.4,15.6,3,15.6
style/news_dates,новости с датами и суффиксами,+++,3.7,10.8,9.1,3,10.8
surface/caps_terms,термины с заглавной буквы,+++,3.3,8.2,9.0,3,9.0
syntax_varied,никакие два соседних предложения не построены одинаково,+++,4.4,4.2,7.0,3,7.0
syntax_complex,"подчинение, причастные обороты, вложенные конструкции",+++,4.1,6.6,5.7,3,6.6
literary_echo50,"художественный стиль, затем эхо на половине кусков",+−+,15.5,-24.8,9.3,3,24.8
literary_echo25,"художественный стиль, затем эхо на четверти кусков",+−+,11.9,-12.6,14.9,3,14.9
ngram/n2,выборка из биграммной модели корпуса,−++,-3.5,34.4,28.2,3,34.4
vocab/expand100,"все знаменательные слова уникальны, повторов нет",−++,-18.4,32.6,5.8,3,32.6
vocab/expand50,половина знаменательных слов заменена на свежие,−++,-15.3,21.7,3.1,3,21.7
syntax/drop_funcwords,выброшены служебные слова,−++,-10.6,12.2,3.0,3,12.2
loop/phrase12w_x4,одна 12-словная фраза вставляется по 4 раза подряд,−+−,-62.9,13.4,-84.4,3,84.4
vocab/top10,к 10 самым частым,−+−,-42.4,71.3,-59.7,3,71.3
vocab/top25,к 25 самым частым,−+−,-34.2,52.9,-54.6,3,54.6
shuffle/words,порядок слов в тексте перемешан,−+−,-13.4,39.6,-5.4,3,39.6
shuffle_within_sentences,перемешан внутри каждого предложения,−+−,-12.6,39.4,-4.6,3,39.4
vocab/top60,знаменательные слова сведены к 60 самым частым в тексте,−+−,-20.6,26.1,-38.6,3,38.6
hapax_swap_local,"то же, но все замены из одного домена",−+−,-19.4,14.2,-11.7,3,19.4
hapax_swap_wide,однократные слова заменены чужими из разных доменов,−+−,-19.2,14.9,-12.4,3,19.2
surface/digits_add,добавлены числа,−+−,-18.2,5.0,-5.5,3,18.2
hapax_swap_wide_50,то же для половины однократных,−+−,-12.9,9.5,-7.6,3,12.9
loop/tail_keep20_unit3w,"20% цело, дальше 3-словный фрагмент",−−−,-55.9,-18.8,-81.7,3,81.7
loop/tail_keep40_unit3w,"40% цело, дальше 3-словный фрагмент",−−−,-35.1,-40.3,-69.9,3,69.9
loop/echo6w_x4,каждые 6 слов повторяются 4 раза подряд,−−−,-4.0,-57.7,-53.7,3,57.7
loop/tail_keep40_unit3w_drift,"то же, фрагмент иногда сменяется",−−−,-34.2,-52.4,-54.6,3,54.6
loop/tail_keep60_unit3w,"60% цело, дальше 3-словный фрагмент по кругу",−−−,-26.7,-49.9,-49.9,3,49.9
loop/tail_keep60_unit1w,"60% текста цело, дальше одно слово до конца",−−−,-14.1,-49.4,-41.4,3,49.4
deplete/ideas_down,меньше отдельных мыслей при той же длине,−−−,-26.1,-9.7,-43.0,3,43.0
style_catechism,вопрос-ответ с повторяющейся формулой вопроса,−−−,-8.8,-31.8,-17.7,3,31.8
style_equations,содержание как вывод с нумерованными формулами,−−−,-19.4,-19.6,-26.2,3,26.2
style_record_fields,структурированные записи «Поле: значение»,−−−,-19.6,-24.4,-16.0,3,24.4
style_anaphora,каждое предложение начинается одними и теми же словами,−−−,-21.3,-20.7,-19.9,3,21.3
style/dialogue_interj,бытовой диалог с междометиями,−−−,-20.7,-7.4,-18.2,3,20.7
style/simplified,упрощённый язык,−−−,-12.0,-3.9,-17.2,3,17.2
syntax_monotone,все предложения одной конструкции и одной длины,−−−,-17.1,-3.6,-14.7,3,17.1
style_code,содержание как документированный модуль на Python,−−−,-11.0,-15.5,-16.2,3,16.2
syn_none,"каждое понятие всегда одним и тем же словом, без синонимов",−−−,-3.1,-5.8,-10.0,3,10.0
syntax_simple,"короткие главные предложения, SVO, без подчинения",−−−,-5.8,-4.0,-9.4,3,9.4
