text_id,base_integration,base_coherence,base_domains,base_novelty,base_literacy,base_template,base_punctuation,base_syntax_complexity,base_semantic_complexity,base_naturalness
d9b96a87-ee9b-46e9-995f-edfccd85de77,8.0,8.0,7.0,7.0,7.0,5.0,7.0,8.0,8.0,8.0
0b4651e6-8f56-467b-81ae-810fa7819810,9.0,8.0,7.0,7.0,9.0,5.0,9.0,7.0,7.0,9.0
365ba259-c2eb-480e-84d9-eab251a43b47,8.0,8.0,7.0,7.0,7.0,6.0,8.0,7.0,7.0,9.0
3bec38ad-9c98-4004-95a3-5b24858e7401,8.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,6.0,8.0
7c3f2a9c-bdfc-4800-8191-0036c8cec709,8.0,8.0,7.0,7.0,8.0,5.0,8.0,7.0,7.0,8.0
5895f991-9d37-49fe-9f39-eeff324a797c,8.0,7.0,6.0,7.0,5.0,5.0,6.0,8.0,8.0,5.0
76136b55-6fc5-43fa-b998-384c79a14fe7,8.0,7.0,6.0,7.0,7.0,5.0,6.0,8.0,7.0,7.0
2b392f9b-db4c-468a-bf65-fc00202e096d,7.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0
8eb96c1a-6193-4f0f-843b-4b91efbea553,9.0,8.0,5.0,7.0,8.0,5.0,8.0,7.0,8.0,8.0
a0b0f9d5-62dc-4996-9de4-5e5f9b3bcf06,9.0,8.0,7.0,7.0,9.0,7.0,9.0,8.0,8.0,9.0
54bd7a63-4df1-4ef1-979a-2ae688d3c276,7.0,6.0,5.0,6.0,6.0,5.0,7.0,7.0,6.0,7.0
a2ab68ca-fbd4-4698-8f7c-6b33ea5e9aa2,8.0,7.0,7.0,7.0,7.0,5.0,8.0,7.0,7.0,8.0
56d83b20-4592-4ff6-b3ab-c3299c657735,8.0,8.0,5.0,7.0,8.0,5.0,7.0,7.0,5.0,8.0
5e64f27a-ba00-4d66-8985-34fc48e8302f,8.0,8.0,5.0,7.0,6.0,5.0,6.0,7.0,7.0,7.0
b1217276-7bc0-4410-b466-8118c7036ee5,8.0,8.0,6.0,7.0,7.0,5.0,8.0,7.0,5.0,8.0
b535c4fe-fe84-4ce7-af76-446c58fe22a2,9.0,8.0,7.0,7.0,8.0,7.0,8.0,8.0,6.0,8.0
6670f84e-b3ea-4cdf-98af-e79e2579d9b7,9.0,8.0,7.0,7.0,9.0,5.0,9.0,8.0,7.0,9.0
7b1cbc13-ed47-4ccb-81a7-d64aa32c73e5,8.0,8.0,6.0,7.0,7.0,5.0,7.0,7.0,5.0,8.0
8d68dd4d-1de2-4490-8a68-ccd52f7f2c5f,8.0,8.0,7.0,7.0,6.0,5.0,5.0,7.0,6.0,8.0
46555368-c6ff-46dc-88fc-bf38c422299b,8.0,6.0,7.0,7.0,6.0,5.0,6.0,7.0,6.0,7.0
3acbf3b4-cdc2-42b4-9b2c-839dd8bb95f5,8.0,8.0,7.0,7.0,7.0,5.0,6.0,8.0,7.0,8.0
32e519e5-5c7c-4bcb-a0ea-bfeb2b47c9d8,8.0,8.0,7.0,7.0,8.0,6.0,7.0,7.0,7.0,8.0
